channel     z-pos[mm]   phi-pos[rad]
735         59          0.261562    
736         63          0.261562    
737         67          0.261562    
738         71          0.261562    
739         75          0.261562    
740         79          0.261562    
741         83          0.261562    
742         87          0.261562    
743         91          0.261562    
744         95          0.261562    
745         99          0.261562    
746         103         0.261562    
747         107         0.261562    
748         111         0.261562    
749         115         0.261562    
750         119         0.261562    
751         123         0.261562    
752         127         0.261562    
753         131         0.261562    
754         135         0.261562    
755         139         0.261562    
756         143         0.261562    
757         147         0.261562    
758         151         0.261562    
759         155         0.261562    
760         159         0.261562    
761         163         0.261562    
762         167         0.261562    
763         171         0.261562    
764         175         0.261562    
765         179         0.261562    
766         183         0.261562    
767         187         0.261562    
768         -190        0.296437    
769         -186        0.296437    
770         -182        0.296437    
771         -178        0.296437    
772         -174        0.296437    
773         -170        0.296437    
774         -166        0.296437    
775         -162        0.296437    
776         -158        0.296437    
777         -154        0.296437    
778         -150        0.296437    
779         -146        0.296437    
780         -142        0.296437    
781         -138        0.296437    
782         -134        0.296437    
783         -130        0.296437    
784         -126        0.296437    
785         -122        0.296437    
786         -118        0.296437    
787         -114        0.296437    
788         -110        0.296437    
789         -106        0.296437    
790         -102        0.296437    
791         -98         0.296437    
792         -94         0.296437    
793         -90         0.296437    
794         -86         0.296437    
795         -82         0.296437    
796         -78         0.296437    
797         -74         0.296437    
798         -70         0.296437    
799         -66         0.296437    
800         -62         0.296437    
801         -58         0.296437    
802         -54         0.296437    
803         -50         0.296437    
804         -46         0.296437    
805         -42         0.296437    
806         -38         0.296437    
807         -34         0.296437    
808         -30         0.296437    
809         -26         0.296437    
810         -22         0.296437    
811         -18         0.296437    
812         -14         0.296437    
813         -10         0.296437    
814         -6          0.296437    
815         -2          0.296437    
816         2           0.296437    
817         6           0.296437    
818         10          0.296437    
819         14          0.296437    
820         18          0.296437    
821         22          0.296437    
822         26          0.296437    
823         30          0.296437    
824         34          0.296437    
825         38          0.296437    
826         42          0.296437    
827         46          0.296437    
828         50          0.296437    
829         54          0.296437    
830         58          0.296437    
831         62          0.296437    
832         66          0.296437    
833         70          0.296437    
834         74          0.296437    
835         78          0.296437    
836         82          0.296437    
837         86          0.296437    
838         90          0.296437    
839         94          0.296437    
840         98          0.296437    
841         102         0.296437    
842         106         0.296437    
843         110         0.296437    
844         114         0.296437    
845         118         0.296437    
846         122         0.296437    
847         126         0.296437    
848         130         0.296437    
849         134         0.296437    
850         138         0.296437    
851         142         0.296437    
852         146         0.296437    
853         150         0.296437    
854         154         0.296437    
855         158         0.296437    
856         162         0.296437    
857         166         0.296437    
858         170         0.296437    
859         174         0.296437    
860         178         0.296437    
861         182         0.296437    
862         186         0.296437    
863         190         0.296437    
864         -191        0.331312    
865         -187        0.331312    
866         -183        0.331312    
867         -179        0.331312    
868         -175        0.331312    
869         -171        0.331312    
870         -167        0.331312    
871         -163        0.331312    
872         -159        0.331312    
873         -155        0.331312    
874         -151        0.331312    
875         -147        0.331312    
876         -143        0.331312    
877         -139        0.331312    
878         -135        0.331312    
879         -131        0.331312    
880         -127        0.331312    
881         -123        0.331312    
882         -119        0.331312    
883         -115        0.331312    
884         -111        0.331312    
885         -107        0.331312    
886         -103        0.331312    
887         -99         0.331312    
888         -95         0.331312    
889         -91         0.331312    
890         -87         0.331312    
891         -83         0.331312    
892         -79         0.331312    
893         -75         0.331312    
894         -71         0.331312    
895         -67         0.331312    
896         -63         0.331312    
897         -59         0.331312    
898         -55         0.331312    
899         -51         0.331312    
900         -47         0.331312    
901         -43         0.331312    
902         -39         0.331312    
903         -35         0.331312    
904         -31         0.331312    
905         -27         0.331312    
906         -23         0.331312    
907         -19         0.331312    
908         -15         0.331312    
909         -11         0.331312    
910         -7          0.331312    
911         -3          0.331312    
912         1           0.331312    
913         5           0.331312    
914         9           0.331312    
915         13          0.331312    
916         17          0.331312    
917         21          0.331312    
918         25          0.331312    
919         29          0.331312    
920         33          0.331312    
921         37          0.331312    
922         41          0.331312    
923         45          0.331312    
924         49          0.331312    
925         53          0.331312    
926         57          0.331312    
927         61          0.331312    
928         65          0.331312    
929         69          0.331312    
930         73          0.331312    
931         77          0.331312    
932         81          0.331312    
933         85          0.331312    
934         89          0.331312    
935         93          0.331312    
936         97          0.331312    
937         101         0.331312    
938         105         0.331312    
939         109         0.331312    
940         113         0.331312    
941         117         0.331312    
942         121         0.331312    
943         125         0.331312    
944         129         0.331312    
945         133         0.331312    
946         137         0.331312    
947         141         0.331312    
948         145         0.331312    
949         149         0.331312    
950         153         0.331312    
951         157         0.331312    
952         161         0.331312    
953         165         0.331312    
954         169         0.331312    
955         173         0.331312    
956         177         0.331312    
957         181         0.331312    
958         185         0.331312    
959         189         0.331312    
960         -192        0.366187    
961         -188        0.366187    
962         -184        0.366187    
963         -180        0.366187    
964         -176        0.366187    
965         -172        0.366187    
966         -168        0.366187    
967         -164        0.366187    
968         -160        0.366187    
969         -156        0.366187    
970         -152        0.366187    
971         -148        0.366187    
972         -144        0.366187    
973         -140        0.366187    
974         -136        0.366187    
975         -132        0.366187    
976         -128        0.366187    
977         -124        0.366187    
978         -120        0.366187    
979         -116        0.366187    
980         -112        0.366187    
981         -108        0.366187    
982         -104        0.366187    
983         -100        0.366187    
984         -96         0.366187    
985         -92         0.366187    
986         -88         0.366187    
987         -84         0.366187    
988         -80         0.366187    
989         -76         0.366187    
990         -72         0.366187    
991         -68         0.366187    
992         -64         0.366187    
993         -60         0.366187    
994         -56         0.366187    
995         -52         0.366187    
996         -48         0.366187    
997         -44         0.366187    
998         -40         0.366187    
999         -36         0.366187    
1000        -32         0.366187    
1001        -28         0.366187    
1002        -24         0.366187    
1003        -20         0.366187    
1004        -16         0.366187    
1005        -12         0.366187    
1006        -8          0.366187    
1007        -4          0.366187    
1008        0           0.366187    
1009        4           0.366187    
1010        8           0.366187    
1011        12          0.366187    
1012        16          0.366187    
1013        20          0.366187    
1014        24          0.366187    
1015        28          0.366187    
1016        32          0.366187    
1017        36          0.366187    
1018        40          0.366187    
1019        44          0.366187    
1020        48          0.366187    
1021        52          0.366187    
1022        56          0.366187    
1023        60          0.366187    
1024        64          0.366187    
1025        68          0.366187    
1026        72          0.366187    
1027        76          0.366187    
1028        80          0.366187    
1029        84          0.366187    
1030        88          0.366187    
1031        92          0.366187    
1032        96          0.366187    
1033        100         0.366187    
1034        104         0.366187    
1035        108         0.366187    
1036        112         0.366187    
1037        116         0.366187    
1038        120         0.366187    
1039        124         0.366187    
1040        128         0.366187    
1041        132         0.366187    
1042        136         0.366187    
1043        140         0.366187    
1044        144         0.366187    
1045        148         0.366187    
1046        152         0.366187    
1047        156         0.366187    
1048        160         0.366187    
1049        164         0.366187    
1050        168         0.366187    
1051        172         0.366187    
1052        176         0.366187    
1053        180         0.366187    
1054        184         0.366187    
1055        188         0.366187    
1056        -193        0.401062    
1057        -189        0.401062    
1058        -185        0.401062    
1059        -181        0.401062    
1060        -177        0.401062    
1061        -173        0.401062    
1062        -169        0.401062    
1063        -165        0.401062    
1064        -161        0.401062    
1065        -157        0.401062    
1066        -153        0.401062    
1067        -149        0.401062    
